id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1240044743280730119,1240044743280730119,1584484680000,2020-03-17,19:38:00,-03,14436030,elmundoes,EL MUNDO,,"Tamara Gorro contra el coronavirus: ""Venga, ven conmigo ahora"". La influencer ha publicado un hilarante vídeo en el que enseña lo importante que es la higiene  http://bit.ly/2ISEV7x ",[],['http://bit.ly/2ISEV7x'],[],0,0,0,[],[],https://twitter.com/elmundoes/status/1240044743280730119,False,,0,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240039459657318400,1240039459657318400,1584483420000,2020-03-17,19:17:00,-03,14436030,elmundoes,EL MUNDO,,Donald Trump choca con China mientras recibe el respaldo de los estadounidenses por su gestión del coronavirus  http://bit.ly/2TWZSV9 ,[],['http://bit.ly/2TWZSV9'],[],7,25,51,[],[],https://twitter.com/elmundoes/status/1240039459657318400,False,,0,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240037724276604928,1240037724276604928,1584483006000,2020-03-17,19:10:06,-03,14436030,elmundoes,EL MUNDO,,"La prostitución en tiempos de coronavirus: ""Ya no trabajamos. Es muy difícil el sexo sin besar o abrazar""  http://bit.ly/2QnQsQs ",[],['http://bit.ly/2QnQsQs'],[],19,40,65,[],[],https://twitter.com/elmundoes/status/1240037724276604928,False,,0,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240036131254800390,1240036131254800390,1584482627000,2020-03-17,19:03:47,-03,14436030,elmundoes,EL MUNDO,,🎥 La canción de una niña de 6 años sobre el coronavirus que arrasa en las redes  pic.twitter.com/S8WspLJukB,[],[],[],5,67,122,[],[],https://twitter.com/elmundoes/status/1240036131254800390,False,,1,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240034173483696134,1240034173483696134,1584482160000,2020-03-17,18:56:00,-03,14436030,elmundoes,EL MUNDO,,Pedro Sánchez endurece el decreto del estado de alarma por el coronavirus y apela a la resistencia de los españoles  http://bit.ly/38YumKX ,[],['http://bit.ly/38YumKX'],[],5,24,37,[],[],https://twitter.com/elmundoes/status/1240034173483696134,False,,0,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240030743721582594,1240030743721582594,1584481342000,2020-03-17,18:42:22,-03,14436030,elmundoes,EL MUNDO,,🎥 Una veintena de ancianos de una misma residencia han fallecido por coronavirus  http://bit.ly/2vt8VUp  pic.twitter.com/fFBpKyPIq8,[],['http://bit.ly/2vt8VUp'],[],26,179,129,[],[],https://twitter.com/elmundoes/status/1240030743721582594,False,,1,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240025368880431109,1240025368880431109,1584480061000,2020-03-17,18:21:01,-03,14436030,elmundoes,EL MUNDO,,"Muere el primer policía municipal de Madrid por coronavirus, un agente de 58 años destinado en Vicálvaro  http://bit.ly/2UjdCIK ",[],['http://bit.ly/2UjdCIK'],[],51,228,360,[],[],https://twitter.com/elmundoes/status/1240025368880431109,False,,0,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240021844511596545,1240021844511596545,1584479220000,2020-03-17,18:07:00,-03,14436030,elmundoes,EL MUNDO,,"Pollos gratis en el centro de Madrid para la cuarentena por el coronavirus: ""No vamos a tirar comida""  http://bit.ly/3d9Ssp0 ",[],['http://bit.ly/3d9Ssp0'],[],18,154,400,[],[],https://twitter.com/elmundoes/status/1240021844511596545,False,,0,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240017530678280203,1240017530678280203,1584478192000,2020-03-17,17:49:52,-03,14436030,elmundoes,EL MUNDO,,La Comisión Europea hará todo lo que esté en su mano para intentar que haya una vacuna contra el coronavirus en otoño de este año  http://bit.ly/3d9lTYo ,[],['http://bit.ly/3d9lTYo'],[],14,53,71,[],[],https://twitter.com/elmundoes/status/1240017530678280203,False,,0,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
1240009610708295680,1240009610708295680,1584476304000,2020-03-17,17:18:24,-03,14436030,elmundoes,EL MUNDO,,🎥 Los famosos muestran a través de las redes sociales cómo están viviendo el encierro por la crisis del coronavirus  pic.twitter.com/TYytzRwPNq,[],[],[],3,18,62,[],[],https://twitter.com/elmundoes/status/1240009610708295680,False,,1,,,,,,,"[{'user_id': '14436030', 'username': 'elmundoes'}]",,,,
