id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1239944326014283776,1239944326014283776,1584460739000,2020-03-17,12:58:59,-03,121183700,elpais_espana,EL PAÍS España,,Sánchez anuncia un plan que movilizará 200.000 millones para amortiguar el impacto de la crisis del coronavirus  https://elpais.com/economia/2020-03-17/el-gobierno-aprobara-una-moratoria-para-el-pago-de-hipotecas.html?utm_source=Twitter&ssm=TW_CM_ESP#Echobox=1584459797 …,[],['https://elpais.com/economia/2020-03-17/el-gobierno-aprobara-una-moratoria-para-el-pago-de-hipotecas.html?utm_source=Twitter&ssm=TW_CM_ESP#Echobox=1584459797'],[],3,8,14,[],[],https://twitter.com/elpais_espana/status/1239944326014283776,False,,0,,,,,,,"[{'user_id': '121183700', 'username': 'elpais_espana'}]",,,,
1239667909200424960,1239667909200424960,1584394836000,2020-03-16,18:40:36,-03,121183700,elpais_espana,EL PAÍS España,,Rufián e Iglesias han acordado esperar para registrar la iniciativa parlamentaria porque entienden que no procede en plena crisis del coronavirus  https://elpais.com/espana/2020-03-16/los-socios-del-gobierno-apoyan-una-comision-de-investigacion-sobre-la-fortuna-del-rey-emerito.html?utm_source=Twitter&ssm=TW_CM_ESP#Echobox=1584386360 …,[],['https://elpais.com/espana/2020-03-16/los-socios-del-gobierno-apoyan-una-comision-de-investigacion-sobre-la-fortuna-del-rey-emerito.html?utm_source=Twitter&ssm=TW_CM_ESP#Echobox=1584386360'],[],1,3,14,[],[],https://twitter.com/elpais_espana/status/1239667909200424960,False,,0,,,,,,,"[{'user_id': '121183700', 'username': 'elpais_espana'}]",,,,
1239265724612435968,1239265724612435968,1584298947000,2020-03-15,16:02:27,-03,121183700,elpais_espana,EL PAÍS España,,Sigue las últimas noticias de la crisis del coronavirus en nuestro directo  https://elpais.com/sociedad/2020-03-15/ultimas-noticias-del-coronavirus-y-el-estado-de-alarma-en-directo.html?utm_source=Twitter&ssm=TW_CM_ESP#Echobox=1584298022 …,[],['https://elpais.com/sociedad/2020-03-15/ultimas-noticias-del-coronavirus-y-el-estado-de-alarma-en-directo.html?utm_source=Twitter&ssm=TW_CM_ESP#Echobox=1584298022'],[],1,7,37,[],[],https://twitter.com/elpais_espana/status/1239265724612435968,False,,0,,,,,,,"[{'user_id': '121183700', 'username': 'elpais_espana'}]",,,,
1239210406733848586,1239210406733848586,1584285759000,2020-03-15,12:22:39,-03,121183700,elpais_espana,EL PAÍS España,,ÚLTIMA HORA | El Ejército despliega patrullas en las principales ciudades para luchar contra el coronavirus  https://elpais.com/espana/2020-03-15/el-ejercito-despliega-patrullas-en-las-principales-ciudades-para-luchar-contra-el-coronavirus.html …,[],['https://elpais.com/espana/2020-03-15/el-ejercito-despliega-patrullas-en-las-principales-ciudades-para-luchar-contra-el-coronavirus.html'],[],11,46,78,[],[],https://twitter.com/elpais_espana/status/1239210406733848586,False,,0,,,,,,,"[{'user_id': '121183700', 'username': 'elpais_espana'}]",,,,
1240070870888001537,1240070870888001537,1584490909000,2020-03-17,21:21:49,-03,7996082,el_pais,EL PAÍS,,"Además, desde el ministerio de Educación se garantizó que “ningún alumno va a perder el curso por la suspensión de las clases presenciales debido al coronavirus”  https://elpais.com/sociedad/2020-03-17/la-selectividad-se-retrasa-por-la-crisis-del-coronavirus.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584488409 …",[],['https://elpais.com/sociedad/2020-03-17/la-selectividad-se-retrasa-por-la-crisis-del-coronavirus.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584488409'],[],1,10,49,[],[],https://twitter.com/el_pais/status/1240070870888001537,False,,0,,,,,,,"[{'user_id': '7996082', 'username': 'el_pais'}]",,,,
1240069389405347840,1240069389405347840,1584490556000,2020-03-17,21:15:56,-03,7996082,el_pais,EL PAÍS,,Los ministerios y administraciones implicadas acuerdan mantener la prueba pero modificar el  calendario a causa del parón educativo generado por el coronavirus. La fecha dependerá de cuándo se termine el estado de alarma  https://elpais.com/sociedad/2020-03-17/la-selectividad-se-retrasa-por-la-crisis-del-coronavirus.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584488409 …,[],['https://elpais.com/sociedad/2020-03-17/la-selectividad-se-retrasa-por-la-crisis-del-coronavirus.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584488409'],[],3,10,34,[],[],https://twitter.com/el_pais/status/1240069389405347840,False,,0,,,,,,,"[{'user_id': '7996082', 'username': 'el_pais'}]",,,,
1240060891057524737,1240060891057524737,1584488530000,2020-03-17,20:42:10,-03,7996082,el_pais,EL PAÍS,,"La tos seca que produce el coronavirus no llega acompañada de moco. Es irritativa y a menudo provoca dolor en la garganta o en el pecho, además de la molesta irritación. Aprende a identificar los síntomas del coronavirus  https://elpais.com/elpais/2020/03/15/buenavida/1584275567_977731.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584465491 …",[],['https://elpais.com/elpais/2020/03/15/buenavida/1584275567_977731.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584465491'],[],10,379,453,[],[],https://twitter.com/el_pais/status/1240060891057524737,False,,0,,,,,,,"[{'user_id': '7996082', 'username': 'el_pais'}]",,,,
1240055968077135872,1240055968077135872,1584487356000,2020-03-17,20:22:36,-03,7996082,el_pais,EL PAÍS,,"Las recaídas de personas ya curadas del coronavirus preocupan a los médicos, porque pueden hacer la enfermedad causada por el virus más difícil de erradicar. En China se están tomando medidas  https://elpais.com/sociedad/2020/02/28/actualidad/1582900093_723655.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584463815 …",[],['https://elpais.com/sociedad/2020/02/28/actualidad/1582900093_723655.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584463815'],[],12,497,508,[],[],https://twitter.com/el_pais/status/1240055968077135872,False,,0,,,,,,,"[{'user_id': '7996082', 'username': 'el_pais'}]",,,,
1240048900268077058,1240048900268077058,1584485671000,2020-03-17,19:54:31,-03,7996082,el_pais,EL PAÍS,,"""Quedan aún días para doblegar la curva de contagios, tenemos que aplanarla y hacerla caer"", ha dicho Pedro Sánchez hace unas horas. Aquí, todos los detalles de la forma en que está evolucionando la curva del coronavirus en España  https://elpais.com/sociedad/2020/03/17/actualidad/1584436648_230452.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584464366 …",[],['https://elpais.com/sociedad/2020/03/17/actualidad/1584436648_230452.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584464366'],[],13,57,128,[],[],https://twitter.com/el_pais/status/1240048900268077058,False,,0,,,,,,,"[{'user_id': '7996082', 'username': 'el_pais'}]",,,,
1240041255566008320,1240041255566008320,1584483848000,2020-03-17,19:24:08,-03,7996082,el_pais,EL PAÍS,,"El artículo que Vargas Llosa publicó este domingo en EL PAÍS sobre la crisis del coronavirus no ha gustado a las autoridades chinas, que han respondido censurando los libros del Nobel   https://elpais.com/cultura/2020-03-16/china-censura-los-libros-de-vargas-llosa-tras-un-critico-articulo-sobre-el-coronavirus.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584465140 …",[],['https://elpais.com/cultura/2020-03-16/china-censura-los-libros-de-vargas-llosa-tras-un-critico-articulo-sobre-el-coronavirus.html?utm_source=Twitter&ssm=TW_CM#Echobox=1584465140'],[],39,279,430,[],[],https://twitter.com/el_pais/status/1240041255566008320,False,,0,,,,,,,"[{'user_id': '7996082', 'username': 'el_pais'}]",,,,
