id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1240043987911622656,1240043987911622656,1584484500000,2020-03-17,19:35:00,-03,35977487,lajornadaonline,La Jornada,,"Por primera vez en su historia, el santuario de Lourdes cerró sus puertas por un tiempo indefinido, en momentos en que #Francia se encuentra por confinamiento para luchar contra el avance de la pandemia del nuevo #coronavirus #COVID19. http://bit.ly/3b1rezd ",[],['http://bit.ly/3b1rezd'],[],1,8,23,"['#francia', '#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240043987911622656,False,,0,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}]",,,,
1240042663967105029,1240042663967105029,1584484184000,2020-03-17,19:29:44,-03,35977487,lajornadaonline,La Jornada,,"#VideosLaJornada Algunas tiendas lucen con desabasto en #Lima, #Perú, ante la pandemia de #coronavirus #COVID19 declarada por la Organización Mundial de la Salud por coronavirus.

Más información:  https://bit.ly/2xHyxxv  pic.twitter.com/o8zjHHGUGA",[],['https://bit.ly/2xHyxxv'],[],1,3,11,"['#videoslajornada', '#lima', '#perú', '#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240042663967105029,False,,1,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}]",,,,
1240041471060910093,1240041471060910093,1584483900000,2020-03-17,19:25:00,-03,35977487,lajornadaonline,La Jornada,,"En #AméricaLatina las aerolíneas, las empresas de alojamiento y aquellas con poca liquidez resentirán en mayor grado un 'shock' en la demanda y en los mercados financieros por el brote del #coronavirus #COVID19. http://bit.ly/3a0xkQd ",[],['http://bit.ly/3a0xkQd'],[],0,4,7,"['#américalatina', '#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240041471060910093,False,,0,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}]",,,,
1240034218262085633,1240034218262085633,1584482171000,2020-03-17,18:56:11,-03,35977487,lajornadaonline,La Jornada,,"Hasta el momento ni gobierno federal ni la dirección del instituto “han dado a conocer los protocolos o estrategias correspondientes” para atender los contagios del #coronavirus #COVID19, acusó el secretario general del sindicato de @RespiraINER. http://bit.ly/3a038Vs ",['respirainer'],['http://bit.ly/3a038Vs'],[],6,38,46,"['#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240034218262085633,False,,0,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}, {'user_id': '526629857', 'username': 'RespiraINER'}]",,,,
1240033921330364416,1240033921330364416,1584482100000,2020-03-17,18:55:00,-03,35977487,lajornadaonline,La Jornada,,"#VideosLaJornada Los líderes mundiales se ponen de acuerdo en la lucha contra el #coronavirus #COVID19. Cierres de fronteras, confinamientos y cierres de comercios son las medidas que los gobiernos tomaron. http://bit.ly/2IUJu17 ",[],['http://bit.ly/2IUJu17'],[],2,5,23,"['#videoslajornada', '#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240033921330364416,False,,0,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}]",,,,
1240033580065193985,1240033580065193985,1584482018000,2020-03-17,18:53:38,-03,35977487,lajornadaonline,La Jornada,,"#VideosLaJornada La tradicional representación en vía pública de la Pasión de Jesucristo que se realiza en #Iztapalapa fue cancelada, como medida de prevención contra el #coronavirus #COVID19, informó @ClaraBrugadaM.

Más información:  https://bit.ly/2U1pPTL  pic.twitter.com/VVGbyDFp4R",['clarabrugadam'],['https://bit.ly/2U1pPTL'],[],4,22,55,"['#videoslajornada', '#iztapalapa', '#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240033580065193985,False,,1,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}, {'user_id': '1012698540', 'username': 'ClaraBrugadaM'}]",,,,
1240031404823478274,1240031404823478274,1584481500000,2020-03-17,18:45:00,-03,35977487,lajornadaonline,La Jornada,,"#Infografía La #UE está prohibiendo todos los viajes no esenciales por la zona Schengen de libre paso y más allá cuando cada vez más países cierran sus fronteras en respuesta a la pandemia de #coronavirus #COVID19. Más información:  https://bit.ly/2x6aOXu 

Vía Graphic News pic.twitter.com/AeVR8TT0WM",[],['https://bit.ly/2x6aOXu'],['https://pbs.twimg.com/media/ETVXnIYXsAAfO_u.jpg'],0,10,16,"['#infografía', '#ue', '#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240031404823478274,False,,0,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}]",,,,
1240028462745870337,1240028462745870337,1584480798000,2020-03-17,18:33:18,-03,35977487,lajornadaonline,La Jornada,,"#Sonora | Los Consulados de #EstadosUnidos instalados en Hermosillo y Nogales suspenderán sus servicios rutinarios de visas de inmigrante y no-inmigrante, a partir de este miércoles 18 de marzo para evitar la propagación del #coronavirus #COVID19. http://bit.ly/2WkbuDc ",[],['http://bit.ly/2WkbuDc'],[],0,2,13,"['#sonora', '#estadosunidos', '#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240028462745870337,False,,0,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}]",,,,
1240027760321531905,1240027760321531905,1584480631000,2020-03-17,18:30:31,-03,35977487,lajornadaonline,La Jornada,,#Bolivia anunció que cerrará sus fronteras a no residentes y suspenderá todos los vuelos internacionales para combatir la propagación del #coronavirus #COVID19. Las medidas entrarán en vigencia en los próximos tres días. http://bit.ly/2WhPoRY ,[],['http://bit.ly/2WhPoRY'],[],0,14,19,"['#bolivia', '#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240027760321531905,False,,0,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}]",,,,
1240026371704991746,1240026371704991746,1584480300000,2020-03-17,18:25:00,-03,35977487,lajornadaonline,La Jornada,,"La @AsocBancosMx detalló que las sucursales contarán con gel antibacterial, esparcimiento de clientes y usuarios en áreas de atención en plataforma, ventanilla y cajeros automáticos y asepsia constante para evitar la propagación del #coronavirus #COVID19 http://bit.ly/2IWfGkU ",['asocbancosmx'],['http://bit.ly/2IWfGkU'],[],3,16,25,"['#coronavirus', '#covid19']",[],https://twitter.com/lajornadaonline/status/1240026371704991746,False,,0,,,,,,,"[{'user_id': '35977487', 'username': 'lajornadaonline'}, {'user_id': '407932149', 'username': 'AsocBancosMx'}]",,,,
