id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1240038987516936192,1240038987516936192,1584483308000,2020-03-17,19:15:08,-03,18935802,repubblica,la Repubblica,,"Coronavirus, il ritorno di Champions Juve-Lione in scena sui social tra strette di mano e arrivederci  https://www.repubblica.it/sport/calcio/serie-a/juventus/2020/03/17/news/coronavirus_il_ritorno_di_champions_juve-lione_in_scena_sui_social_tra_strette_di_mano_e_arrivederci-251571625/ …",[],['https://www.repubblica.it/sport/calcio/serie-a/juventus/2020/03/17/news/coronavirus_il_ritorno_di_champions_juve-lione_in_scena_sui_social_tra_strette_di_mano_e_arrivederci-251571625/'],[],0,2,7,[],[],https://twitter.com/repubblica/status/1240038987516936192,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240038985583345665,1240038985583345665,1584483307000,2020-03-17,19:15:07,-03,18935802,repubblica,la Repubblica,,"Coronavirus, Johnson avverte: ""Per il Regno Unito la peggiore sfida economica dal dopoguerra” [aggiornamento delle 22:47]  https://www.repubblica.it/esteri/2020/03/17/news/regno_unito_coronavirus_boris_johnson_a_crisi_economica_guerra-251571119/?timestamp=1584481624000 …",[],['https://www.repubblica.it/esteri/2020/03/17/news/regno_unito_coronavirus_boris_johnson_a_crisi_economica_guerra-251571119/?timestamp=1584481624000'],[],2,3,9,[],[],https://twitter.com/repubblica/status/1240038985583345665,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240037204228857856,1240037204228857856,1584482882000,2020-03-17,19:08:02,-03,18935802,repubblica,la Repubblica,,"Coronavirus, Juventus. Dopo Rugani, positivo anche Matuidi [aggiornamento delle 22:14]  https://www.repubblica.it/sport/calcio/serie-a/juventus/2020/03/17/news/coronavirus_juventus_dopo_rugani_positivo_anche_matuidi-251557691/?timestamp=1584479650000 …",[],['https://www.repubblica.it/sport/calcio/serie-a/juventus/2020/03/17/news/coronavirus_juventus_dopo_rugani_positivo_anche_matuidi-251557691/?timestamp=1584479650000'],[],0,4,14,[],[],https://twitter.com/repubblica/status/1240037204228857856,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240035466063130624,1240035466063130624,1584482468000,2020-03-17,19:01:08,-03,18935802,repubblica,la Repubblica,,"Coronavirus, Borrelli: ""Oggi 2.989 positivi in più, 192 i guariti e 345 i morti"" [aggiornamento delle 21:23]  https://www.repubblica.it/cronaca/2020/03/17/news/coronavirus_aggiornamento_dati_italia_borrelli-251542468/?timestamp=1584476628000 …",[],['https://www.repubblica.it/cronaca/2020/03/17/news/coronavirus_aggiornamento_dati_italia_borrelli-251542468/?timestamp=1584476628000'],[],3,8,14,[],[],https://twitter.com/repubblica/status/1240035466063130624,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240035464288948224,1240035464288948224,1584482468000,2020-03-17,19:01:08,-03,18935802,repubblica,la Repubblica,,"Ciclismo, coronavirus: ufficiale, rinviati giro delle Fiandre, Parigi-Roubaix e Liegi-Bastogne-Liegi [aggiornamento delle 21:06]  https://www.repubblica.it/sport/ciclismo/2020/03/17/news/ciclismo_coronavirus_rinviate_anche_le_classiche_del_nord-251543742/?timestamp=1584475591000 …",[],['https://www.repubblica.it/sport/ciclismo/2020/03/17/news/ciclismo_coronavirus_rinviate_anche_le_classiche_del_nord-251543742/?timestamp=1584475591000'],[],1,4,11,[],[],https://twitter.com/repubblica/status/1240035464288948224,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240018843579191296,1240018843579191296,1584478505000,2020-03-17,17:55:05,-03,18935802,repubblica,la Repubblica,,"Coronavirus, la Consob vieta le vendite allo scoperto per tre mesi  https://www.repubblica.it/economia/2020/03/17/news/coronavirus_la_consob_vieta_le_vendite_allo_scoperto_per_tre_mesi-251569549/?rss&ref=twhr …",[],['https://www.repubblica.it/economia/2020/03/17/news/coronavirus_la_consob_vieta_le_vendite_allo_scoperto_per_tre_mesi-251569549/?rss&ref=twhr'],[],11,27,47,[],[],https://twitter.com/repubblica/status/1240018843579191296,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240004623932387329,1240004623932387329,1584475115000,2020-03-17,16:58:35,-03,18935802,repubblica,la Repubblica,,"Coronavirus Roma, nuova ordinanza: ""Vietato fare la spesa lontano da casa. Obbligo di contingentare clienti""""  https://roma.repubblica.it/cronaca/2020/03/17/news/coronavirus_nuova_ordinanza_regione_lazio_negozi_chiusi_alle_19_la_domenica_alle_15-251559114/?rss&ref=twhr …",[],['https://roma.repubblica.it/cronaca/2020/03/17/news/coronavirus_nuova_ordinanza_regione_lazio_negozi_chiusi_alle_19_la_domenica_alle_15-251559114/?rss&ref=twhr'],[],0,8,26,[],[],https://twitter.com/repubblica/status/1240004623932387329,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240004618161020928,1240004618161020928,1584475113000,2020-03-17,16:58:33,-03,18935802,repubblica,la Repubblica,,"Coronavirus Roma, nuova ordinanza: ""Vietato fare la spesa lontano da casa. Obbligo di contingentare clienti"""" [aggiornamento delle 20:49]  https://roma.repubblica.it/cronaca/2020/03/17/news/coronavirus_nuova_ordinanza_regione_lazio_negozi_chiusi_alle_19_la_domenica_alle_15-251559114/?timestamp=1584474542000 …",[],['https://roma.repubblica.it/cronaca/2020/03/17/news/coronavirus_nuova_ordinanza_regione_lazio_negozi_chiusi_alle_19_la_domenica_alle_15-251559114/?timestamp=1584474542000'],[],3,3,18,[],[],https://twitter.com/repubblica/status/1240004618161020928,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240002478050914304,1240002478050914304,1584474603000,2020-03-17,16:50:03,-03,18935802,repubblica,la Repubblica,,"Coronavirus Roma, nuova ordinanza: ""Vietato fare la spesa lontano da casa. Obbligo di contingentare clienti"""" [aggiornamento delle 20:40]  https://roma.repubblica.it/cronaca/2020/03/17/news/coronavirus_nuova_ordinanza_regione_lazio_negozi_chiusi_alle_19_la_domenica_alle_15-251559114/?timestamp=1584474040000 …",[],['https://roma.repubblica.it/cronaca/2020/03/17/news/coronavirus_nuova_ordinanza_regione_lazio_negozi_chiusi_alle_19_la_domenica_alle_15-251559114/?timestamp=1584474040000'],[],2,24,56,[],[],https://twitter.com/repubblica/status/1240002478050914304,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
1240002474901028864,1240002474901028864,1584474602000,2020-03-17,16:50:02,-03,18935802,repubblica,la Repubblica,,"Coronavirus, ok dell'Aifa al farmaco anti artrite: sperimentazione su 330 pazienti [aggiornamento delle 20:37]  https://napoli.repubblica.it/cronaca/2020/03/17/news/aifa_farmaco_artrit_al_via_la_sperimentazione_su_330_pazienti-251553759/?timestamp=1584473855000 …",[],['https://napoli.repubblica.it/cronaca/2020/03/17/news/aifa_farmaco_artrit_al_via_la_sperimentazione_su_330_pazienti-251553759/?timestamp=1584473855000'],[],3,28,108,[],[],https://twitter.com/repubblica/status/1240002474901028864,False,,0,,,,,,,"[{'user_id': '18935802', 'username': 'repubblica'}]",,,,
